id,question,answerKey,choice_0,choice_1,choice_2,choice_3
Mercury_7220990,Which factor will most likely cause a person to develop a fever?,1,a leg muscle relaxing after exercise,a bacterial population in the bloodstream,several viral particles on the skin,carbohydrates being digested in the stomach
MCAS_2007_8_5189,Lichens are symbiotic organisms made of green algae and fungi. What do the green algae supply to the fungi in this symbiotic relationship?,1,carbon dioxide,food,protection,water
Mercury_SC_401169,"When a switch is used in an electrical circuit, the switch can",3,cause the charge to build.,increase and decrease the voltage.,cause the current to change direction.,stop and start the flow of current.
MCAS_2004_8_27,Which of the following is an example of an assistive device?,0,contact lens,motorcycle,raincoat,coffee pot
NYSEDREGENTS_2006_8_10,"Rocks are classified as igneous, metamorphic, or sedimentary according to",2,their color,their shape,how they formed,the minerals they contain
Mercury_7013388,A chewable calcium carbonate tablet is a common treatment for stomach discomfort. Calcium carbonate is most likely used as this type of medicine because calcium carbonate,2,has a pleasant flavor.,is inexpensive to produce.,neutralizes digestive acid.,occurs naturally in the body.
Mercury_7179953,Which two body systems are directly involved in movement?,0,muscular and skeletal,digestive and muscular,skeletal and respiratory,respiratory and digestive
Mercury_7205118,Which change in the state of water particles causes the particles to become arranged in a fixed position?,2,boiling,melting,freezing,evaporating
MCAS_2016_8_13,Earth's core is primarily composed of which of the following materials?,1,basalt,iron,magma,quartz
Mercury_7283255,Which of the following events during meiosis contributes most to the variation within a species?,2,pairing of chromosomes,creation of haploid gametes,segregation of alleles,separation of chromatids
MCAS_2005_5_29,"Which of the following was probably most important in the formation of dark, fertile soil that is good for farming?",0,plant decomposition,radioactive decay,water erosion,wind erosion
MCAS_2001_8_7,"When igneous rock is changed into metamorphic rock, which form of energy is this process?",0,heat,chemical,magnetic,light
Mercury_SC_400329,"In humans, the digestion process begins in",1,"the intestine, with squeezing.","the mouth, with chewing and saliva.","the stomach, with churning and acid.","the esophagus, with pushing towards the stomach."
Mercury_SC_407440,Which of these items contains only a solution?,1,a jar of pickles,a bottle of juice,a bag of peanuts,a can of mixed fruit
MCAS_2016_8_7,"Many natural rock formations change color over time. In Utah, for example, iron oxidized and formed red, orange, and yellow rock. Which of the following is the cause of this change?",0,chemical weathering,mechanical weathering,water erosion,wind erosion
MEA_2016_8_8,"A population of small, plant-eating beetles lives in a forest. About half of the beetles are light brown and the others are dark green. If years of drought cause the area to become dry with few trees, what would the beetle population most likely look like after several generations?",0,It would be mostly light brown beetles.,It would be mostly dark green beetles.,It would be mostly carnivorous beetles.,It would be mostly very large beetles.
Mercury_SC_400124,A scientist wanting to document a change in a river's flow pattern should observe a river over a period of,3,days.,weeks.,months.,years.
Mercury_405944,Automobile engines built today are designed to be gas efficient. Gas-efficient engines most likely affect a city by reducing,0,air pollution.,heat pollution.,noise pollution.,light pollution.
Mercury_SC_405129,"A student in an empty classroom shouts, ""Hello!"" Which best explains what the student hears after the shout?",1,an increased loudness of sound,a reflection of sound,an increased frequency of sound,a refraction of sound
NYSEDREGENTS_2011_8_4,Which type of energy in gasoline is transformed into mechanical energy in a motorcycle engine?,0,chemical,nuclear,magnetic,electrical
Mercury_SC_406063,A student standing near a campfire feels warmer as the fire grows. Which process most likely transfers heat from the campfire to the student?,2,conduction,convection,radiation,transformation
Mercury_412056,"In snapdragon plants, red flowers are dominant to white flowers. When red-flowered plants are crossed with white-flowered plants, pink flowers are produced. If a researcher wants to produce plants with only white flowers, what color should the parent plants be?",1,both red,both white,one red and one white,one white and one pink
Mercury_7016590,"Scientists use the term ""light year"" to describe",1,how fast light travels in space.,the distance light travels in one year.,how large the diameters of different stars are.,the time it takes the Sun to move through the galaxy.
Mercury_7148628,Plate movement can form different features on Earth. The movement of tectonic plates can be both a constructive and a destructive force. At which type of plate boundary is new crust formed?,3,convergent,subduction,transform,divergent
NYSEDREGENTS_2007_8_7,Which group of organisms can show significant trait changes in the shortest period of time?,0,bacteria,birds,fish,reptiles
CSZ10336,Peach trees have sweet-smelling blossoms and produce rich fruit. What is the main purpose of the flowers of a peach tree?,0,to attract bees for pollination,to create flower arrangements,to protect the tree from disease,to feed migratory birds
Mercury_7109393,A group of students are researching changes in climate in their region. Which of these would best provide evidence of changes in temperature and rainfall over a period of years?,0,tree rings,pollen samples,harvest production,carbon dating
Mercury_SC_LBS10953,Which of these would help to prevent infections from occurring in small cuts and scrapes?,3,apply a cold ice pack,raise the injured area,apply pressure to stop bleeding,"wash the area with warm, soapy water"
NCEOGA_2013_5_8,Which best describes why winds at the beach change direction between day and night?,0,because the temperatures over land and over water change,because warm air over land sinks and stays in place over land,because cool air rises and is replaced by warm air from the ocean,because cool air sinks and stays in place over land
Mercury_7017763,Soil erosion can be best prevented by,1,removing grass from the steepest slope.,building terraces into the sides of a slope.,heavily watering the vegetation on the slope.,increasing the slope of the land by adding more soil.
MCAS_1999_4_29,Which of the following properties provides the BEST way to identify a mineral?,0,hardness,shape,size,temperature
NYSEDREGENTS_2011_8_20,Which sequence represents the order of development for many plants?,0,seed develops inside fruit -> seed is dispersed -> seed germinates -> plant grows,seed is dispersed -> seed develops inside fruit -> seed germinates -> plant grows,seed germinates -> plant grows -> seed is dispersed -> seed develops inside fruit,seed is dispersed -> plant grows -> seed germinates -> seed develops inside fruit
VASoL_2009_5_4,"When ice cream is left out of a freezer, the ice cream changes from a ___.",2,solid to a gas,gas to a liquid,solid to a liquid,liquid to a gas
NYSEDREGENTS_2005_8_9,Which equipment will best separate a mixture of iron filings and black pepper?,0,magnet,filter paper,triple-beam balance,voltmeter
NAEP_2011_8_S11+3,Which characteristic is shared by all cells?,0,They need energy.,They reproduce sexually.,They make their own food.,They move from place to place.
Mercury_7018305,"On a small, isolated island, a hurricane destroyed all the trees that produced a large, hard-shelled nut. Which bird population would most likely decrease?",1,"birds with long, probing beaks","birds with thick, strong beaks","birds with thin, short beaks","birds with large, pouch beaks"
