run_id,correct_answer,question,answer_option0,answer_option1,answer_option2,answer_option3,answer_option4
294846,3,April missed a call at 10 a.m.. She returned it 11 hours later. When did she return the call?,2 a.m.,1 p.m.,8 p.m.,9 p.m.,2 p.m.
189399,4,Pick the one which is usually the biggest.,vial,golf ball,petri dish,inhaler canister,heart
262834,3,"In Dill town, you can only buy fruit at Pepper's Store, and you can only buy flowers at Cherry's Store. In a strange coincidence, any time Basil is at Pepper's Store, Lily is at Carrot's Store, and any time he is at Cherry's Store, she is at Rose's Store. Basil is buying purple mangosteens. Where is Lily?",Cherry's Store,Pepper's Store,Rosemary's Store,Carrot's Store,Rose's Store
323599,2,"If a Lexus just passed its inspection, then the Lexus has no issues with its?",CD player,sun roof,crank shaft,GPS receiver,radar detector
336445,4,Melody was gobbled by Rob. Melody commended Charity. Who did something affecting Melody?,Joy,Charity,Daisy,Cliff,Rob
336352,4,"In Strange Town, you're only allowed to play a team sport in the theater district, you're only allowed to attend entertainment events in the graveyard, and you're only allowed to engage in politics in the shipyard. Joy is baseball play. Where is Joy?",the shipyard,the graveyard,the financial district,the botanical garden,the physical universe
290039,2,______ typically last 60 seconds.,changes of device state,July fifths,Minuteman III ICBM stage 1 flights,groanings,national hero celebrations
263423,4,Duke bet Ginger that no Strawberry crab is a lake. Ginger is a brewer. Duke is a psychiatrist. Which of them won the bet?,lead guitarist,brewer,real estate agent,pitcher,psychiatrist
294748,4,April missed a call at 5 p.m.. She returned it 9 hours later. When did she return the call?,9 p.m.,12 a.m.,11 a.m.,11 p.m.,2 a.m.
260052,4,"Cherry needs open refrigerators, rum, and basic office connector. She already has rum and open refrigerators. Where should she go?",fish market,liquor store,bait and tackle shop,bakery,office supply store
263772,0,Duke bet Ginger that no machine tool is pasta. Ginger is an architect. Duke is a cowgirl. Which of them won the bet?,cowgirl,pediatrician,architect,chemist,short-order cook
264462,4,Elephants have this many chines:,9,10,5,8,1
263444,2,Duke bet Ginger that no sea is a picnic ham. Ginger is a secretary. Duke is a controller. Which of them won the bet?,librarian,secretary,accountant,mathematician,travel agent
189507,1,Which of these things isn't usually larger than any of the others?,swan,Maine Coon cat,manger,wicker basket,crib
318666,4,Charity defamed Joy. Who had the action done to them?,defaming,Daisy,Charity,Cliff,Joy
335890,2,"In Strange Town, you're only allowed to play board games in the town square, you're only allowed to attend entertainment events in the graveyard, and you're only allowed to play a card game in the campground. Daisy is watching a movie at the cinema. Where is Daisy?",the campground,the town square,the graveyard,the shipyard,the park
295072,4,April missed a call at 2 a.m.. She returned it 1 hour later. When did she return the call?,12 a.m.,11 p.m.,4 a.m.,1 a.m.,3 a.m.
294761,3,April missed a call at 2 p.m.. She returned it 3 hours later. When did she return the call?,2 a.m.,10 p.m.,7 a.m.,5 p.m.,9 p.m.
313214,4,Daisy succored Cliff. What was the action?,Daisy,lauding,mocking,Cliff,aiding
324886,2,"In U.S. winter, Cliff visits the graveyard every day. In U.S. spring, Cliff visits the town square every day. Where will Cliff go on February 4?",the town square,the theater district,the graveyard,the financial district,the shipyard
260354,4,"In Dill town, you can only buy herbs at Carrot's Store, and you can only buy flesh at Pepper's Store. In a strange coincidence, any time Basil is at Carrot's Store, Lily is at Cherry's Store, and any time he is at Pepper's Store, she is at Rose's Store. Basil is buying Cilantro. Where is Lily?",Pepper's Store,Rose's Store,Rosemary's Store,Carrot's Store,Cherry's Store
290115,4,______ typically last a few hours.,fallings asleep,watchings a movie at the cinema,Novembers,September 26ths,assemblings wooden furniture parts
294753,4,April missed a call at 5 a.m.. She returned it 5 hours later. When did she return the call?,11 a.m.,7 a.m.,6 p.m.,1 p.m.,10 a.m.
320792,4,Charity is expressing resolve. Joy is kissing. Rob is looking downward. Which of them is most likely feeling romantic love?,Charity,Rob,Daisy,Cliff,Joy
263259,1,Duke bet Ginger that no Egyptian goose is concrete. Ginger is a comedian. Duke is a killer. Which of them won the bet?,retail sales clerk,contract killer,manager,comedian,plumber
319660,0,Rob is gritting one’s teeth. Charity is relaxing. Daisy is boasting. Which of them is most likely feeling machismo?,Daisy,Joy,Cliff,Rob,Charity
320257,4,Daisy is holding hands. Charity is shivering. Cliff is pacing. Which of them is most likely feeling romantic love?,Cliff,Charity,Rob,Joy,Daisy
190085,3,Which of these things is usually larger than the others?,baseball glove,notebook,pitcher,Manx cat,cereal bowl
262200,2,"In Dill town, you can only buy office products at Carrot's Store, and you can only buy cereal grains at Pepper's Store. In a strange coincidence, any time Basil is at Carrot's Store, Lily is at Cherry's Store, and any time he is at Pepper's Store, she is at Pepper's Store. Basil is buying grain of rice. Where is Lily?",Carrot's Store,Cherry's Store,Pepper's Store,Rose's Store,Rosemary's Store
189654,1,"Of these things, pick the one which isn't usually smaller than any of the others.",coffee mug,Multi-colored Cocker Spaniel,microwave oven,tea cup,beet
328710,2,"Of these things, pick the one which is typically slowest.",steam locomotive,F-16 fighting falcon,cruise ship,Honda Accord,diesel locomotive
296191,4,April missed a call at 6 p.m.. She returned it 6 hours later. When did she return the call?,2 a.m.,9 p.m.,noon,1 p.m.,12 a.m.
336491,4,Charity intimidated Rob. Rob derided Charity. Who did something affecting Rob?,Rob,Cliff,Daisy,Joy,Charity
289467,2,What typically lasts a few seconds?,July 23rd,January tenth,opening a container,August second,changing a motor vehicle's oil
324644,0,"In U.S. spring, Cliff visits the theater district every day. In U.S. winter, Cliff visits the botanical garden every day. Where will Cliff go on February 18?",the botanical garden,the theater district,the financial district,the shipyard,the park
162847,2,"Which of the following is 4 decades after 5:37 p.m. on April 30, 1975?","5:37 p.m. on December 30, 1974","5:37 p.m. on April 30, 1971","5:37 p.m. on April 30, 2015","9:37 p.m. on April 30, 1975","5:37 p.m. on April 30, 1935"
260971,1,"In Dill town, you can only buy herbs at Cherry's Store, and you can only buy meat at Rosemary's Store. In a strange coincidence, any time Basil is at Cherry's Store, Lily is at Rose's Store, and any time he is at Rosemary's Store, she is at Rosemary's Store. Basil is buying shellfish. Where is Lily?",Carrot's Store,Rosemary's Store,Cherry's Store,Rose's Store,Pepper's Store
163298,3,"Which of the following is 5 weeks after 0:30 p.m. on November 22, 1963?","0:30 p.m. on November 22, 1463","0:30 p.m. on November 22, 2013","0:30 p.m. on November 22, 1913","0:30 p.m. on December 27, 1963","7:30 a.m. on November 22, 1963"
320404,3,Joy is sneering. Daisy is expressing enjoyment. Rob is relaxing a muscle. Which of them is most likely feeling repulsion?,Rob,Charity,Daisy,Joy,Cliff
